Data S2. List of genes with somatic SNVs.,,,,,,,,,,,,
Species,Individual ID,Contig,Position,Type,GeneID,TranscryptID,Protein,Species used for annotation,Identity,AGI code,,
S. laevis,S1,contig_3233,7482,missense_variant,g30600,g30600.t1,DIOXL,ARATH,64.31%,AT4G15093,,
S. laevis,S1,contig_3248,236947,missense_variant,g30744,g30744.t1,Y1178,ARATH,77.44%,AT1G21780,,
S. laevis,S1,contig_3289,216418,missense_variant,g30955,g30955.t1,VP602,ARATH,82.48%,AT5G04850,,
S. laevis,S1,contig_6983,22454,missense_variant,g42294,g42294.t1,FQRL1,ARATH,90.15%,AT4G27270,,
S. laevis,S1,contig_770,397760,missense_variant,g44035,g44035.t1,ECT2,ARATH,56.64%,AT3G13460,,
S. laevis,S1,contig_8358,157216,missense_variant,g45672,g45672.t1,NAC43,ARATH,49.76%,AT2G46770,,
S. laevis,S1,contig_9189,57246,missense_variant,g47322,g47322.t1,,,,,,
S. laevis,S1,contig_9460,86539,missense_variant,g48420,g48420.t1,EI2BG,DICDI,37.72%,,,
S. laevis,S1,scaffold_1971,323928,missense_variant,g50409,g50409.t1,Y3720,ARATH,35.10%,AT3G47200,,
S. laevis,S1,scaffold_855,146541,missense_variant,g52480,g52480.t1,MLP31,ARATH,60.40%,AT1G70840,,
S. laevis,S1,contig_12435,29827,stop_gained,g7084,g7084.t1,CSCL8,ARATH,66.15%,AT3G54510,,
S. laevis,S1,contig_3141,49836,stop_gained,g29764,g29764.t1,EIX2,SOLLC,33.12%,,,
S. laevis,S1,scaffold_2645,1685845,stop_gained,g51364,g51364.t1,GIF3,ARATH,59.74%,AT4G00850,,
S. laevis,S1,contig_13135,74837,silent,g10206,g10206.t1,SMXL4,ARATH,46.34%,AT4G29920,,
S. laevis,S1,contig_2407,18252,silent,g21402,g21402.t1,VITPS,GLOX,47.78%,,,
S. laevis,S1,contig_2592,881046,silent,g23934,g23934.t1,C3H31,ARATH,64.13%,AT2G47680,,
S. laevis,S1,contig_2671,109638,silent,g24984,g24984.t1,,,,,,
S. laevis,S1,contig_2893,208798,silent,g26684,g26684.t1,CATA1,GOSHI,86.06%,,,
S. laevis,S1,contig_2987,82115,silent,g28013,g28013.t1,NSP2,MEDTR,59.29%,,,
S. laevis,S1,contig_3229,59685,silent,g30414,g30414.t1,CHR4,ARATH,53.88%,AT5G44800,,
S. laevis,S1,contig_3254,59290,silent,g30784,g30784.t1,PF04720.15,,,,,
S. laevis,S1,contig_3504,100201,silent,g31960,g31960.t1,YTX2,XENLA,27.47%,,,
S. laevis,S1,contig_3763,310285,silent,g32879,g32879.t2,CRK29,ARATH,46.79%,AT4G21410,,
S. laevis,S1,contig_5256,17183,silent,g37083,g37083.t1,HACE1,XENTR,36.96%,,,
S. laevis,S1,contig_5401,113148,silent,g37693,g37693.t1,,,,,,
S. laevis,S1,contig_6888,171513,silent,g41893,g41893.t1,C3H1,ARATH,71.30%,AT1G01350,,
S. laevis,S1,scaffold_259,82688,silent,g50814,g50814.t1,CNBL4,ARATH,60.87%,AT5G24270,,
S. laevis,S1,scaffold_925,493283,silent,g53055,g53055.t1,EMB1,DAUCA,74.73%,,,
S. laevis,S2,contig_12395,76925,missense_variant,g6893,g6893.t1,HMT2,ARATH,76.92%,AT3G63250,,
S. laevis,S2,contig_13153,16026,missense_variant,g10281,g10281.t1,RRP5,ARATH,63.80%,AT3G11964,,
S. laevis,S2,contig_1396,425272,missense_variant,g10959,g10959.t1,PLT4,ARATH,61.25%,AT2G20780,,
S. laevis,S2,contig_2377,356128,missense_variant,g21151,g21151.t1,C7317,PRUMU,60.73%,,,
S. laevis,S2,contig_2592,874812,missense_variant,g23932,g23932.t1,PMEI6,ARATH,47.24%,AT2G47670,,
S. laevis,S2,contig_3122,11934,missense_variant,g29437,g29437.t1,,,,,,
S. laevis,S2,contig_3184,58423,missense_variant,g30176,g30176.t1,Y1561,ARATH,55.43%,AT1G56130,,
S. laevis,S2,contig_637,458116,missense_variant,g40650,g40650.t1,,,,,,
S. laevis,S2,contig_7568,38269,missense_variant,g43759,g43759.t1,PRXQ,POPJC,84.11%,,,
S. laevis,S2,contig_7992,233868,missense_variant,g44568,g44568.t1,PP237,ARATH,51.16%,AT3G16610,,
S. laevis,S2,contig_865,156265,missense_variant,g46399,g46399.t1,PBL15,ARATH,36.69%,AT1G61590,,
S. laevis,S2,contig_926,1128231,missense_variant,g47801,g47801.t1,ACEA,GOSHI,70.17%,,,
S. laevis,S2,scaffold_3358,255296,missense_variant,g51538,g51538.t1,FB341,ARATH,31.37%,AT5G49610,,
S. laevis,S2,scaffold_5683,1418811,missense_variant,g52006,g52006.t1,CYP95,ARATH,73.84%,AT4G32420,,
S. laevis,S2,contig_12291,46280,silent,g6331,g6331.t1,PF08241.15,,,,,
S. laevis,S2,contig_12395,80721,silent,g6894,g6894.t1,STY13,ARATH,41.30%,AT2G24360,,
S. laevis,S2,contig_2609,4236,silent,g24029,g24029.t1,,,,,,
S. laevis,S2,contig_9609,142975,silent,g48998,g48998.t1,ADCK1,HUMAN,37.11%,,,
S. laevis,S2,scaffold_2201,895777,silent,g50565,g50565.t1,EF1A,ORYSJ,97.76%,,,
S. laevis,S2,scaffold_3358,255295,silent,g51538,g51538.t1,FB341,ARATH,31.37%,AT5G49610,,
S. leprosula,F1,ptg000002l,43323450,missense_variant,g6855,g6855.t1,SIB1,ARATH,66.67%,AT3G56710,,
S. leprosula,F1,ptg000004l,2855350,missense_variant,g14353,g14353.t1,,,,,,
S. leprosula,F1,ptg000006l,21512830,missense_variant,g22417,g22417.t1,PF13369.9,,,,,
S. leprosula,F1,ptg000014l,6143108,missense_variant,g35927,g35927.t1,BDA1,ARATH,26.71%,AT5G54610,,
S. leprosula,F1,ptg000014l,6476041,missense_variant,g35978,g35978.t2,CF0,SOLLC,39.95%,,,
S. leprosula,F1,ptg000002l,32320711,stop_gained,g5797,g5797.t1,P2B10,ARATH,40.23%,AT2G02360,,
S. leprosula,F2,ptg000002l,6462323,missense_variant,g3293,g3293.t1,ASP1,ORYSJ,39.43%,,,
S. leprosula,F2,ptg000002l,6462337,missense_variant,g3293,g3293.t1,ASP1,ORYSJ,39.43%,,,
S. leprosula,F2,ptg000002l,21887191,missense_variant,g5220,g5220.t1,SCP34,ARATH,69.10%,AT5G23210,,
S. leprosula,F2,ptg000004l,3714578,missense_variant,g14394,g14394.t1,TR164,ORYSJ,79.49%,,,
S. leprosula,F2,ptg000004l,31478625,missense_variant,g17410,g17410.t1,CIP73,LOTJA,32.06%,,,
S. leprosula,F2,ptg000009l,1399746,silent,g28969,g28969.t1,MEBL,ARATH,35.06%,AT4G27870,,
S. leprosula,F2,ptg000009l,24690659,silent,g31281,g31281.t1,DRL23,ARATH,40.31%,AT4G10780,,
S. leprosula,F2,ptg000009l,37972405,silent,g32339,g32339.t1,DRL28,ARATH,29.87%,AT4G27220,,
S. leprosula,F2,ptg000012l,3629246,silent,g34447,g34447.t2,RGA3,SOLBU,32.67%,,,
